session_test_id,age,gender,num_mushra,num_spatial,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,pink_noise_anech,FOA-Amb-Param1,60,90018,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,pink_noise_anech,Param2,100,90018,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,pink_noise_anech,Mono,0,90018,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,pink_noise_anech,Harpex,87,90018,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,pink_noise_anech,reference,100,90018,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,pink_noise_anech,FOA,25,90018,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,pink_noise_anech,Param1,17,90018,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"speech noise_anech",FOA-Amb-Param1,91,105405,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"speech noise_anech",FOA-Amb-Param2,100,105405,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"speech noise_anech",Harpex,85,105405,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"speech noise_anech",reference,100,105405,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"speech noise_anech",Param1,21,105405,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"speech noise_anech",FOA,47,105405,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"speech noise_anech",Param2,100,105405,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"speech noise_anech",Mono,0,105405,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_strongrev",reference,100,100886,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_strongrev",Mono,0,100886,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_strongrev",Param1,54,100886,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_strongrev",Harpex,42,100886,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_strongrev",FOA,90,100886,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_strongrev",Param2,56,100886,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_strongrev",FOA-Amb-Param2,90,100886,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,"drums saw_strongrev",FOA-Amb-Param1,91,100886,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_strongrev,FOA-Amb-Param1,100,97654,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_strongrev,Param2,82,97654,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_strongrev,Param1,82,97654,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_strongrev,FOA,100,97654,
param_amb,26,male,more_than_five,more_than_five,1d63afbc-92b4-4c5a-8255-6c4734fc9efd,string_quartet_strongrev,FOA-Amb-Param2,100,97654,
